,title,abstract,paragraph,pub_date,year,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var
0,When Judges Decide on Abortion,Cases in Poland and Texas bring legal vulnerabilities into sharp relief.,"The morning after the Supreme Court signaled that it would not stand in the way of restrictive abortion laws, I was in a Houston hotel with a swimming pool in the shape of Texas.",2023-03-17T19:54:54+0000,2023,0.14614692088832362,0.07653138555917385,0.08875554923318486,0.09539290013245032,0.07368314843309792,-0.15633516196586675,-0.1791469457192113,-0.10869133357663471,-0.11752929298805292,-0.25245527305114474,2.0,0.0008611452808445987,0.00333106611331122
1,Wyoming Becomes First State to Outlaw the Use of Pills for Abortion,The law is the only one in the nation to prohibit the use separate from an overall abortion ban and is part of a growing effort by conservative states to target the pills.,"Wyoming on Friday became the first state to explicitly ban the use of pills for abortion, adding momentum to a growing push by conservative states and anti-abortion groups to target medication abortion, the method now used in a majority of pregnancy terminations in the United States.",2023-03-18T02:30:36+0000,2023,0.12343961368113927,0.09116858488621275,0.10771310171753831,0.11357955986090354,0.07827077076921862,-0.2583099513023478,-0.15984079296612277,-0.13152822109973533,-0.13182671778159744,-0.21011449169905125,4.75,0.0003258245362399031,0.0030254647217600713
2,The Abortion Pill Fight,"Since Roe v. Wade ended, the battle over legal abortion has largely shifted to access to pills.","Since the end of Roe v. Wade last June, access to abortion pills has muted some of the effect of the severe restrictions on abortion that 14 states have imposed. Abortion opponents have responded by trying to reduce access to those pills. The resulting struggle has become the main battle to watch in the post-Roe landscape.",2023-03-08T11:46:02+0000,2023,0.08015430813758445,0.09284929859898647,0.0954529973592832,0.09627902480088195,0.06774253648001229,-0.12467678380634041,-0.08295076395755557,-0.01538526034616187,-0.012232152485102656,-0.09235461405101564,2.1666666666666665,0.0001520523070092325,0.0024691349816534946
3,"An Idaho College Removes Artwork About Abortion, Citing a State Law",Six works in a Lewis-Clark exhibition about health care were perceived to run afoul of a law that prohibits the use of state funds to “promote abortion” or “counsel in favor of abortion.”,"Artwork about abortion is, historically speaking, vanishingly rare. And the future display of such work seems dimmer after a small public college in Idaho removed six works about abortion and birth control from an exhibition, citing a state anti-abortion law.",2023-03-13T22:23:59+0000,2023,0.08015430813758445,0.09284929859898647,0.0954529973592832,0.09627902480088195,0.06774253648001229,-0.12467678380634041,-0.08295076395755557,-0.01538526034616187,-0.012232152485102656,-0.09235461405101564,2.1666666666666665,0.0001520523070092325,0.0024691349816534946
4,Polish Court Convicts Rights Activist of Aiding an Abortion by Providing Pills,"It was the first conviction of its type in the country and in Europe, offering a glimpse of the implications of a near-total ban on abortion.","A court in Poland on Tuesday found a women’s rights activist guilty of aiding an abortion by providing pills, the first conviction of its type in the country and Europe, highlighting the growing risks for women in a nation with the strictest anti-abortion law on the continent.",2023-03-14T19:44:31+0000,2023,0.11358057002342836,0.10255657742849703,0.09039706855451005,0.10472762837552266,0.08208665018519197,-0.05935821591678199,-0.010033543360586629,-0.030441870075677443,-0.03980768761750398,-0.027311233246315004,1.2777777777777777,0.00015439358234900117,0.00032667547325023534
5,"In Iowa, Kamala Harris Says Republicans Won’t Stop at Abortion","“If politicians start using the court to undo doctors’ decisions, imagine where that can lead,” Ms. Harris said at a discussion on abortion with local lawmakers and medical officials.",DES MOINES — Vice President Kamala Harris said on Thursday that a lawsuit seeking to overturn federal approval of a widely used abortion pill amounted to an attack on “our public health system as a whole.”,2023-03-16T21:57:12+0000,2023,0.12075250824897933,0.10877994806633118,0.1035792736882283,0.09390597627635361,0.10690651161950418,-0.09540483550266753,-0.03677695735931214,-0.027384302296547897,-0.037681144880177694,-0.039166275147642086,1.653061224489796,9.380795067105862e-05,0.0007450307495092806
6,All-or-Nothing Abortion Politics Will Leave Women With Nothing,I’m afraid pregnant women will die if we don’t change Tennessee’s abortion law.,"Before the Supreme Court’s ruling in Dobbs v. Jackson Women’s Health Organization, I did not consider myself an abortion provider. Ninety-five percent of my work as a high-risk obstetrician was helping women through complex pregnancies to achieve healthy outcomes for both them and their babies.",2023-03-16T09:00:20+0000,2023,0.1439639926196467,0.10910938852471833,0.11143303202720319,0.11062133294295955,0.12413843334857538,-0.12627302259679976,-0.030209516663535173,-0.04264276644582693,-0.055555683114058965,-0.10669326191317748,1.2258064516129032,0.00021781240716457184,0.0017568782270620685
7,N. Dakota Supreme Court Blocks Abortion Ban; Says Constitution Protects Procedure,"The court’s opinion is not the final word on the case, but it upheld a lower court’s decision to suspend the state’s abortion ban.","North Dakota’s Supreme Court upheld a lower court’s decision to block a ban on abortions in the state, and said the state Constitution protects abortion rights in some situations.",2023-03-16T21:18:07+0000,2023,0.15202421664930518,0.13753999689479443,0.11061227315166475,0.09867642205693598,0.12096325541202188,-0.2587199311795628,-0.2577824890829191,-0.185429795664363,-0.21487720904752394,-0.20774468665577978,1.3125,0.00044960453082301487,0.0010444258480943281
8,Lawyers Spar Before Judge Over Rescinding of Federal Approval of Abortion Pill,The judge said he would decide soon whether to issue a preliminary injunction ordering the F.D.A. to withdraw its approval of the drug or wait for the full trial.,"AMARILLO, Texas — The judge in a closely watched lawsuit seeking to overturn federal approval of a widely used abortion pill questioned lawyers publicly for the first time on Wednesday. The wide-ranging hearing included discussion about whether the anti-abortion plaintiffs had the legal standing to sue the government and what type of ruling he had the power to issue.",2023-03-15T19:29:06+0000,2023,0.13564464196462336,0.1268039540782936,0.09271113729477326,0.10433241542675517,0.11347747456625798,-0.14297930899918657,-0.15703002489254,-0.0786424513728215,-0.13466916484331362,-0.11387718453951375,1.875,0.0002944047332155692,0.0009286109436939472
9,Florida Republicans Propose 6-Week Abortion Ban,The bills would tighten the current 15-week limit and offer narrow exceptions. Gov. Ron DeSantis said he welcomed “pro-life legislation.”,Florida Republicans introduced parallel bills on Tuesday in the House and Senate that would further restrict the state’s abortion ban to six from 15 weeks of pregnancy.,2023-03-08T00:37:34+0000,2023,0.14233406677840338,0.1313662409753696,0.09967165583566473,0.1012153701969665,0.10960016771893619,-0.29196862756199543,-0.294144354019159,-0.19736037137405463,-0.22301481586334695,-0.24047499203388073,1.1304347826086956,0.0003630638389546414,0.0018245254135814605
10,Abortion Opponents Want to Make Women Afraid to Get Help From Their Friends,A wrongful-death lawsuit in Texas is an act of intimidation.,"The month after the Supreme Court overturned Roe v. Wade, a mother of two in Texas who had filed for divorce from her husband discovered she was pregnant. Determined not to have another child and worried that her husband would try to use the pregnancy to make her stay with him, she did what many of us would do and turned to two friends for help.",2023-03-14T00:02:33+0000,2023,0.17406534992603737,0.08173505523873886,0.10279780188010265,0.08408973092667825,0.10061433629909146,-0.25947544952748736,-0.2050082678880992,-0.24337420152639272,-0.1297207596215313,-0.267079681294147,2.25,0.0014264021604575936,0.003172978503716931
11,Macron Calls for Enshrining Right to Abortion in French Constitution,"President Emmanuel Macron honored Gisèle Halimi, a lawyer who worked for the legalization of abortion, but some of her family members and supporters assailed his use of her legacy.","Rendering homage to Gisèle Halimi, a feminist lawyer instrumental in the legalization of abortion in France, President Emmanuel Macron announced on Wednesday that a bill would be prepared “in the coming months” to enshrine in the Constitution the freedom to choose a “voluntary termination of a pregnancy.”",2023-03-08T20:34:12+0000,2023,0.15006783905086085,0.17406952977377085,0.14385714294609359,0.15100534093110476,0.11885635304288408,-0.2983410038670769,-0.31290961868230655,-0.19896948898357927,-0.23825366314954413,-0.20942833668194988,0.72,0.0003896311667115696,0.0026675333633053326
12,Judge in Abortion Pill Case Set Hearing but Sought to Delay Telling the Public,"Saying he wanted safe and orderly proceedings, Judge Matthew J. Kacsmaryk asked lawyers not to disclose the hearing and planned to add it to the public case file only the evening before.","The federal judge in a closely watched lawsuit that seeks to overturn federal approval of a widely used abortion pill has scheduled the first hearing in the case for this week, but he planned to delay making the public aware of it, according to people familiar with the case.",2023-03-12T20:21:08+0000,2023,0.11216600883194612,0.11790210575427622,0.09998097070925771,0.10008132855012448,0.11043518333762649,-0.17037404802669068,-0.2135466915858369,-0.04235533015686388,-0.12971578858890428,-0.08561389269274557,2.235294117647059,6.207091352667438e-05,0.0045619540489616715
