,title,abstract,paragraph,pub_date
0,When Judges Decide on Abortion,Cases in Poland and Texas bring legal vulnerabilities into sharp relief.,"The morning after the Supreme Court signaled that it would not stand in the way of restrictive abortion laws, I was in a Houston hotel with a swimming pool in the shape of Texas.",2023-03-17T19:54:54+0000
1,Wyoming Becomes First State to Outlaw the Use of Pills for Abortion,The law is the only one in the nation to prohibit the use separate from an overall abortion ban and is part of a growing effort by conservative states to target the pills.,"Wyoming on Friday became the first state to explicitly ban the use of pills for abortion, adding momentum to a growing push by conservative states and anti-abortion groups to target medication abortion, the method now used in a majority of pregnancy terminations in the United States.",2023-03-18T02:30:36+0000
2,The Abortion Pill Fight,"Since Roe v. Wade ended, the battle over legal abortion has largely shifted to access to pills.","Since the end of Roe v. Wade last June, access to abortion pills has muted some of the effect of the severe restrictions on abortion that 14 states have imposed. Abortion opponents have responded by trying to reduce access to those pills. The resulting struggle has become the main battle to watch in the post-Roe landscape.",2023-03-08T11:46:02+0000
3,"An Idaho College Removes Artwork About Abortion, Citing a State Law",Six works in a Lewis-Clark exhibition about health care were perceived to run afoul of a law that prohibits the use of state funds to “promote abortion” or “counsel in favor of abortion.”,"Artwork about abortion is, historically speaking, vanishingly rare. And the future display of such work seems dimmer after a small public college in Idaho removed six works about abortion and birth control from an exhibition, citing a state anti-abortion law.",2023-03-13T22:23:59+0000
4,Polish Court Convicts Rights Activist of Aiding an Abortion by Providing Pills,"It was the first conviction of its type in the country and in Europe, offering a glimpse of the implications of a near-total ban on abortion.","A court in Poland on Tuesday found a women’s rights activist guilty of aiding an abortion by providing pills, the first conviction of its type in the country and Europe, highlighting the growing risks for women in a nation with the strictest anti-abortion law on the continent.",2023-03-14T19:44:31+0000
5,"In Iowa, Kamala Harris Says Republicans Won’t Stop at Abortion","“If politicians start using the court to undo doctors’ decisions, imagine where that can lead,” Ms. Harris said at a discussion on abortion with local lawmakers and medical officials.",DES MOINES — Vice President Kamala Harris said on Thursday that a lawsuit seeking to overturn federal approval of a widely used abortion pill amounted to an attack on “our public health system as a whole.”,2023-03-16T21:57:12+0000
6,All-or-Nothing Abortion Politics Will Leave Women With Nothing,I’m afraid pregnant women will die if we don’t change Tennessee’s abortion law.,"Before the Supreme Court’s ruling in Dobbs v. Jackson Women’s Health Organization, I did not consider myself an abortion provider. Ninety-five percent of my work as a high-risk obstetrician was helping women through complex pregnancies to achieve healthy outcomes for both them and their babies.",2023-03-16T09:00:20+0000
7,N. Dakota Supreme Court Blocks Abortion Ban; Says Constitution Protects Procedure,"The court’s opinion is not the final word on the case, but it upheld a lower court’s decision to suspend the state’s abortion ban.","North Dakota’s Supreme Court upheld a lower court’s decision to block a ban on abortions in the state, and said the state Constitution protects abortion rights in some situations.",2023-03-16T21:18:07+0000
8,Lawyers Spar Before Judge Over Rescinding of Federal Approval of Abortion Pill,The judge said he would decide soon whether to issue a preliminary injunction ordering the F.D.A. to withdraw its approval of the drug or wait for the full trial.,"AMARILLO, Texas — The judge in a closely watched lawsuit seeking to overturn federal approval of a widely used abortion pill questioned lawyers publicly for the first time on Wednesday. The wide-ranging hearing included discussion about whether the anti-abortion plaintiffs had the legal standing to sue the government and what type of ruling he had the power to issue.",2023-03-15T19:29:06+0000
9,Florida Republicans Propose 6-Week Abortion Ban,The bills would tighten the current 15-week limit and offer narrow exceptions. Gov. Ron DeSantis said he welcomed “pro-life legislation.”,Florida Republicans introduced parallel bills on Tuesday in the House and Senate that would further restrict the state’s abortion ban to six from 15 weeks of pregnancy.,2023-03-08T00:37:34+0000
10,Abortion Opponents Want to Make Women Afraid to Get Help From Their Friends,A wrongful-death lawsuit in Texas is an act of intimidation.,"The month after the Supreme Court overturned Roe v. Wade, a mother of two in Texas who had filed for divorce from her husband discovered she was pregnant. Determined not to have another child and worried that her husband would try to use the pregnancy to make her stay with him, she did what many of us would do and turned to two friends for help.",2023-03-14T00:02:33+0000
11,Macron Calls for Enshrining Right to Abortion in French Constitution,"President Emmanuel Macron honored Gisèle Halimi, a lawyer who worked for the legalization of abortion, but some of her family members and supporters assailed his use of her legacy.","Rendering homage to Gisèle Halimi, a feminist lawyer instrumental in the legalization of abortion in France, President Emmanuel Macron announced on Wednesday that a bill would be prepared “in the coming months” to enshrine in the Constitution the freedom to choose a “voluntary termination of a pregnancy.”",2023-03-08T20:34:12+0000
12,Judge in Abortion Pill Case Set Hearing but Sought to Delay Telling the Public,"Saying he wanted safe and orderly proceedings, Judge Matthew J. Kacsmaryk asked lawyers not to disclose the hearing and planned to add it to the public case file only the evening before.","The federal judge in a closely watched lawsuit that seeks to overturn federal approval of a widely used abortion pill has scheduled the first hearing in the case for this week, but he planned to delay making the public aware of it, according to people familiar with the case.",2023-03-12T20:21:08+0000
13,Lawyers to Face Off Before Judge in Closely Watched Abortion Pills Case,The first hearing in a lawsuit that seeks to overturn F.D.A. approval of the pills takes place Wednesday morning in Texas.,"A hearing Wednesday in a lawsuit that seeks to overturn federal approval of a widely used abortion pill will provide the first opportunity to hear the arguments of the anti-abortion groups that filed the lawsuit and of the Food and Drug Administration, which is fighting to keep the abortion pill legal.",2023-03-15T09:00:21+0000
14,Walgreens Loses Contract With California Over Stance on Abortion Pill,"The state will not renew a multimillion-dollar deal, Gov. Gavin Newsom said, after the chain said it would not distribute mifepristone in 21 states.","The governor of California said on Wednesday that he would not renew a multimillion-dollar contract with Walgreens, after the pharmacy chain announced that it would not make an abortion pill available in 21 states that had threatened legal action.",2023-03-09T00:31:49+0000
15,Wisconsin Court Candidates Clash Over Abortion and Democracy,"In their lone debate, Janet Protasiewicz, a liberal, and Daniel Kelly, a conservative, unleashed searing attacks on each other. At stake is a crucial seat on the battleground state’s Supreme Court.","MADISON, Wis. — The dueling contenders in Wisconsin’s consequential and costly Supreme Court race collided on Tuesday in their lone debate, a hostile affair that illustrated their stark disagreements over cultural issues and the role of a justice on the state’s high court.",2023-03-21T21:44:43+0000
16,Walgreens Faces Blowback for Not Offering Abortion Pill in 21 States,The chain’s situation shows the complicated legal and reputational landscape that it and its competitors must navigate in the post-Roe era.,"Walgreens landed at the center of a consumer and political firestorm in recent days, after saying it would not dispense an abortion pill in 21 states where Republican attorneys general have threatened legal action against pharmacies that try to distribute the medication.",2023-03-08T00:27:48+0000
17,A New Battle in the War on Abortion Pills,A federal judge could soon issue a ruling that threatens access to one of two drugs commonly used in a medication abortion.,A ruling expected soon from a Trump-appointed federal judge in Texas could halt the provision of a drug called mifepristone for use in abortions. This would potentially make the drug very difficult to come by in all states — including those where abortion is legal.,2023-03-05T11:00:07+0000
18,Five Women Sue Texas Over the State’s Abortion Ban,"The women, backed by an abortion-rights group, say they were denied abortions under state law despite risks to themselves and their fetuses that made the procedure a medical necessity.","Five women who say they were denied abortions despite grave risks to their lives or their fetuses sued the State of Texas on Monday, apparently the first time that pregnant women themselves have taken legal action against the bans that have shut down access to abortion across the country since the U.S. Supreme Court overturned Roe v. Wade.",2023-03-07T02:31:46+0000
19,Where Restrictions on Abortion Pills Could Matter Most in the U.S.,A lawsuit is challenging the F.D.A.’s approval of medication abortion. Data shows the consequences could be far-reaching.,A lawsuit is challenging the F.D.A.’s approval of medication abortion. Data shows the consequences could be far-reaching.,2023-03-02T10:00:11+0000
20,Walgreens Says It Won’t Offer the Abortion Pill Mifepristone in 21 States,The decision applies to conservative states whose attorneys general threatened Walgreens and other pharmacies with legal action if they dispensed the pill there.,"A few weeks after Republican attorneys general in 21 states sent letters threatening legal action against retail pharmacy chains if they dispensed the abortion pill mifepristone, Walgreens said it would not distribute the pill in those states.",2023-03-03T22:35:56+0000
21,"A Threat to Abortion Pills. Plus, the U.S. Shares Secrets.",A lawsuit could force the F.D.A. to revoke its approval of the two main drugs used for medication abortion in the United States.,"In 2000, the F.D.A. approved the medication abortion drug mifepristone. Now a federal judge in Texas is set to rule on a case filed by anti-abortion groups urging the agency to revoke its approval of mifepristone and the other main drug used for medication abortion in the United States. Abortion via medication has become increasingly common and now accounts for more than half of the nation’s abortions.",2023-03-01T11:00:12+0000
22,How the Fall of Roe Turned North Carolina Into an Abortion Destination,"The state, which is near others with abortion bans and restrictions, has had a 37 percent rise in abortions since the constitutional right to abortion was overturned.","RALEIGH, N.C. — Clinic by clinic, county by county and up to the highest levels of state government, no state embodies the nation’s post-Roe upheaval like North Carolina.",2023-03-04T10:00:21+0000
23,"12 States Sue F.D.A., Seeking Removal of Special Restrictions on Abortion Pill",The suit argues that rules applying to mifepristone unnecessarily limit patients’ access to medication abortion.,"The attorneys general of a dozen Democratic-controlled states sued the Food and Drug Administration on Friday, asking a judge to remove special restrictions that the federal agency has long applied to the first of two drugs used in medication abortion.",2023-02-24T22:32:06+0000
24,"If You Want to Know What Republicans Think About How Americans Feel, Ask Walgreens",The abortion pill decision by Walgreens reflects the right’s success in using corporations to affect public policy.,The corporate culture wars have reached a turning point: A number of companies that once championed social justice and equity seem to be beating a hasty retreat.,2023-03-17T09:00:12+0000
25,"In Wisconsin, Liberals Barrage Conservative Court Candidate With Attack Ads","Daniel Kelly, the conservative candidate for a swing seat on Wisconsin’s Supreme Court, promised that help was on the way. But his campaign has already been outspent on TV by $9.1 million to nothing.","As conservatives in Wisconsin seek to maintain control of the State Supreme Court in an all-important election for a crucial swing seat, they would appear to be fighting uphill.",2023-03-15T09:02:25+0000
26,The Debate Hugh Hefner Won and William Buckley Lost,There’s an unbridgeable divide between Barstool conservatives and social conservatives — and it’s warping the conservative movement.,"In 1966, William F. Buckley Jr., the founder of National Review, hosted Hugh Hefner, the founder of the wildly successful Playboy magazine, on Mr. Buckley’s weekly public affairs show, “Firing Line,” for a discussion of sexual ethics.",2023-03-14T09:00:24+0000
27,Inside Ron DeSantis’s Politicized Removal of an Elected Prosecutor,The Florida governor accused the Democratic prosecutor of undermining public safety. But a close examination of the episode reveals just how fueled it was by Mr. DeSantis’s political aims.,"When Gov. Ron DeSantis of Florida announced last summer that he had taken the extraordinary step of removing a local prosecutor from his job, he cast his decision as a bold move to protect Floridians.",2023-03-11T10:00:25+0000
28,"Seeking Evangelicals’ Support Again, Trump Confronts a Changed Religious Landscape","Evangelicals were wooed by Donald Trump’s promise of an anti-abortion Supreme Court. Now, they’re back playing the field.","On a recent Sunday morning at Elmbrook Church, a nondenominational evangelical megachurch in Brookfield, Wis., Jerry Wilson considered the far-off matter of his vote in 2024.",2023-03-09T10:00:36+0000
